0;1 A mf
833;2 A mf
1614;3 A mf
2372;1 A mf
3123;2 A mf
3874;3 A mf
4646;1 A mf
5462;2 A mf
6267;3 A mf
7073;1 B mf
7841;2 B mf
8652;3 B mf
9393;1 B mf
10167;2 B mf
10996;3 B mf
11721;1 B mf
12482;2 B mf
13255;3 B mf
14047;1 B mf
14820;2 B mf
15618;3 B mf
16452;1 B mf
17229;2 B mf
17967;3 B mf
18770;1 C mf
19573;2 C mf
20405;3 C mf
21171;1 C mf
21968;2 D mf
22762;3 D mf
23504;1 D mf
24245;2 D mf
25056;3 D mf
25856;1 D mf
26617;2 D mf
27355;3 D mf
28134;1 D mf
28864;2 D mf
29617;3 D mf
30351;1 D mf
31105;2 D mf
31876;3 D mf
32666;1 D mf
33409;2 D mf
34140;3 D mf
34903;1 D mf
35658;2 D mf
36455;3 D mf
37194;1 D mf
37938;2 D mf
38722;3 D mf
39458;1 D mf
40213;2 D mf
40949;3 D mf
41693;1 E mf
42509;2 E mf
43222;3 E mf
43936;1 E mf
44651;2 E mf
45387;3 E mf
46139;1 E mf
46854;2 E mf
47569;3 E mf
48283;1 E mf
48998;2 E mf
49660;3 E mf
50465;1 E mf
51228;2 E mf
51955;3 E mf
52665;1 F mf
53540;2 F mf
54354;3 F mf
55116;1 F mf
55927;2 F mf
56727;3 F mf
57487;1 F mf
58250;2 F mf
59042;3 F mf
59869;1 F mf
60666;2 F mf
61485;3 F mf
62259;1 F mf
62986;2 F mf
63747;3 F mf
64485;1 F mf
65237;2 F mf
65989;3 F f
66741;1 F f
67493;2 F f
68222;3 F f
68937;1 F f
69625;2 F f
70347;3 F f
71089;1 F f
71825;2 F f
72577;3 F f
73334;1 F f
74100;2 G f
74831;3 G f
75594;1 G f
76308;2 G f
77039;3 G f
77759;1 G f
78485;2 G f
79194;3 G f
79962;1 G f
80656;2 G f
81381;3 G f
82213;1 G f
82976;2 G f
83744;3 G f
84498;1 G f
85264;2 G f
86048;3 G f
86840;1 G f
87560;2 H f
88259;3 H f
88955;1 H f
89742;2 H f
90408;3 H f
91182;1 H f
91889;2 I f
92643;3 I f
93431;1 I f
94190;2 I f
95001;3 I f
95746;1 I f
96450;2 I f
97223;3 I f
97981;1 I f
98729;2 I f
99421;3 I f
100146;1 I f
100906;2 I f
101620;3 I f
102325;1 I f
103023;2 I f
103736;3 I f
104517;1 I f
105269;2 I f
105994;3 I f
106741;1 I f
107429;2 I f
108192;3 I f
108928;end end end
109653;end end end